,date,id,owner_id,from_id,text,comments,likes,reposts,views
3,2022-08-11 12:00:01,167467,-121383802,-121383802,"Минздрав изменил порядок вакцинации от COVID-19

Определено, что основная (первичная) вакцинация проводится для детей 5-17 лет двумя дозами вакцины Sinopharm, а для взрослых (18 лет и старше) - одной дозой ""Спутник Лайт"", двумя дозами ""Гам-Ковид-Вак"" или Sinopharm.

Бустерная вакцинация проводится лицам 18 лет и старше одной дозой ""Спутник Лайт"" либо одной дозой ""Гам-Ковид-Вак"" компонентом 1 или компонентом 2 независимо от ранее использованной вакцины на основную или бустерную вакцинацию.",1,2,0,460.0
5,2022-08-11 11:59:05,28612,-46477202,-46477202,"Коронавирус возвращается. Как ульяновцам подготовиться к инфекции и не заболеть 
 
Эпидемиологи уверены, что говорить об окончательной победе человечества над COVID-19 еще рано, ближе к осени мутирующий вирус вызовет новый всплеск заболеваемости. Как подготовиться к очередной волне COVID-19, читателям ulpravda.ru рассказала главный эпидемиолог Ульяновской области Фира Сайфутдинова. 
 
https://ulpravda.ru/rubrics/meditsina/koronavirus-vozvraschaetsia-kak-ulianovtsam-podgotovitsia-k-infektsii-i-ne-zabolet",1,8,7,927.0
29,2022-08-11 11:54:03,1537875,-23304496,-23304496,"Ким Ё Чжон, влиятельная сестра Ким Чен Ына, поклялась ""уничтожить"" лидеров Южной Кореи, если они продолжат пропускать пропагандистские листовки через границу двух стран, сообщило в четверг официальное Центральное информационное агентство Кореи. ""Если враг продолжит делать такие опасные вещи, которые могут занести вирус в нашу республику, мы ответим, уничтожив не только вирус, но и южнокорейские власти"", - сказала она в своем выступлении на собрании представителей правящей партии по вопросу борьбы с пандемией.

Она заявила, что во время недавней вспышки COVID-19 лидер Северной Кореи страдал от ""лихорадки"" и был ""серьезно болен"", сообщает KCNA. По ее словам, Ким Чен Ын ""не мог прилечь ни на мгновение из-за беспокойства о людях"". 
https://rg.ru/2022/08/11/sestra-kim-chen-yna-zaiavila-o-ego-sereznoj-bolezni-vo-vremia-vspleska-koronavirusa-v-kndr.html",10,39,8,12071.0
37,2022-08-11 11:52:46,1133876,-162413784,-162413784,"🔻BoA получила положительный результат на COVID-19 

#nws #boa",2,218,7,4883.0
43,2022-08-11 11:50:52,2188,271861228,271861228,"Сумасшествие начнётся заново или Россия начнёт жить без указки запада?

 Сенсационный факт: с 1 марта 2022 гогда Минздрав рф исключил новую коронавирусную инфекцию COVID-19 из своего нормативного Перечня инфекционных заболеваний , представляющих опасность для окружающих! 

Новая коронавирусная инфекция COVID-19 исключена из «Перечня инфекционных заболеваний, представляющих опасность для окружающих» в соответствии с п.2 Приложения к Приказу Минздрава России от 21.02.2022 г № 94н « О внесении изменений в Порядок проведения медицинского освидетельсьвования.. наличие или отсутствие …инфекционных заболеваний , представляющих опасность для окружающих …» 
Перечень инфекционных заболеваний, представляющих опасность для окружающих 
(с изменениями на 21 февраля 2022 года) 
 
N п/п Код заболевания 
по МКБ-10 
Наименование заболевания 
1. A15-A19 туберкулез 
2. A30 лепра (болезнь Гансена) 
3. A50-A53 сифилис 
4. B20-B24 болезнь, вызванная вирусом иммунодефицита человека (ВИЧ) 
 Z21 бессимптомный инфекционный статус, вызванный вирусом иммунодефицита человека (ВИЧ) 
5. Пункт утратил силу с 1 марта 2022 года - приказ Минздрава России от 21 февраля 2022 года N 94н, действует до 1 марта 2028 года. - См. предыдущую редакцию. 
____ 
 Международная статистическая классификация болезней и проблем, связанных со здоровьем, 10-й пересмотр.
 Сылка: https://docs.cntd.ru/document/727231433 

Предыдущая редакция. 
Перечень инфекционных заболеваний, представляющих опасность для окружающих 
N п/п Код заболевания по МКБ-10 1 
Наименование заболевания 
1. А15 - А19 
туберкулез 
2. А30 
лепра (болезнь Гансена) 
3. А50-А53 
сифилис 
4. В20 - В24 
Z21 
болезнь, вызванная вирусом иммунодефицита человека (ВИЧ) 
бессимптомный инфекционный статус, вызванный вирусом иммунодефицита человека (ВИЧ) 
5. U07.1 
новая коронавирусная инфекция COVID-19 (вирус идентифицирован) 
────────────────────────────── 
1 Международная статистическая классификация болезней и проблем, связанных со здоровьем, 10-й пересмотр. 
Ссылка: http://ivo.garant.ru/#/compare/403137303… 

Приказ утвержден министром М.А.Мурашко. Зарегистрирован в Минюсте России 22 февраля 2022 г. N 67408. Действует по 2028 год. 

Таким образом, с 1 марта 2022 года все ранее изданные нормативные и нормативно-правовые акты рф и субьектов федерации, краев, городов и областей Россиии о введении режима повышенной готовности, о введении ограничительных мер для жителей и работников предприятий и организаций, о добровольно-принудительной вакцинации, о соблюдении масочного режима и других мер не имеют юридической силы и должны быть отменены! С 1 марта 2022 года все ранее изданные приказы директоров предприятий и организаций, рукководителей любых структур, воинских частей, ФСБ, МВД и других федеральных структур , ректоров институтов и университетов, заведующих детсадами, директоров общеобразовательных школ и т.д. не имеют юридической силы и должны быть отменены. Все работники , сотрудники, служащие организаций любой формы собственности, отстраненные от работы без сохранения заработной платы за отказ от вакцинации должны быть незамедлительно восстановлены на рабочих местах с сохранением и выплатой заработной платы и компенсацией не полученной заработной платы за период со дня отстранения по день восстановления на работе.
 
Данный Приказ Минздрава России от 21.02.2022 г № 94н является обязательным для всех должностных лиц нормативо-правовым актом в соответствии с п.2 Постановления Првительства РФ от 13.08.1997 г №1009. В соответствии с Постановлением Правительства РФ №1009 все нормативные акты республиканских, краевых, городских, областных подразделений Роспотребнадзора не являются нормативными правовыми актами и исполнению не подлежат! 

Уважаемые соотечественники! Используйте данную информацию для защиты и восстановления своих прав и прав других людей. Распространяйте Правду!",1,24,13,459.0
47,2022-08-11 11:50:03,38720,-171166493,-171166493,"Covid-19: желающих пройти ревакцинацию становится всё больше.

Главный эпидемиолог региона Ирина Переладова рассказала ""Толку"", хватит ли вакцины, везде ли она есть, сколько доз ""Спутник V"" нужно вводить и дадут ли сертификат при разовой инъекции. Мы собрали самую основную информацию в карточки.

🔹Добавим, что Спутника Лайт больше не производят. Эксперты предполагают, что необходимость в «Лайте» отпала, так как разработчикам удалось наладить массовое производство второго компонента «Спутника V».

🔹Жители отдаленных сел также могут вакцинироваться в ФАПах или передвижных пунктах, которые продолжают курсировать по краю по графику. ""Даже ехать никуда не надо"", – сказала Ирина Переладова.

🔹На счет сертификатов. Чтобы получить его на год, необходимо поставить два компонента Спутник V. Примечательно, что еще в начале 2022 года, когда многие повторно вакцинировались ""Спутником Лайт"" сертификат выдавался на год. Хотя сейчас утверждается, что ""Спутник Лайт"" – это аналог первой дозы ""Спутника V"", то есть только одной прививки. Впрочем, сам сертификат, по опыту предыдущих волн пандемии, необходим в периоды пиковой заболеваемости, когда власти вводят ограничения и доступ по QR-кодам. Сейчас в Алтайском крае ограничений почти нет, обсуждается только введение масочного режима для людей старше 65 лет.",3,1,1,681.0
59,2022-08-11 11:48:02,184996,-50109163,-50109163,"В России продлили сроки годности вакцины от COVID-19 «Спутник V», изменения внесены в инструкцию по медицинскому применению. Об этом 10 августа пишет РИА Новости со ссылкой на Минздрав.

Для разных производителей сроки составляют от шести месяцев до одного года. В каждом случае решение о продлении основано на результатах экспертизы, подтвердившей, что на протяжении всего срока годности сохраняется качество, а значит, безопасность и эффективность препарата.

В Минздраве также предупредили, что сведения о более коротком сроке годности на упаковке препарата не означают, что он просрочен, просто он произведен до продления.

Источник: Фонтанка ру",1,4,4,1319.0
67,2022-08-11 11:47:00,41111,-178031849,-178031849,"​​Министерство здравоохранения Италии заявляет, что невакцинированные медики могут вернуться к работе.

«С уходом в отставку премьер-министра Италии Марио Драги, дискриминационные ковидационные меры правительства, возглавляемого глобалистами, в отношении медицинского персонала прекратились.

Медицинское агентство правительства Италии, Национальная федерация палат хирургов и стоматологов (FNOMCeO), объявили, что все врачи и медицинский персонал, отстраненные от работы за отказ от прививок против Covid-19, могут вернуться к работе.

До недавнего времени медицинские ассоциации штатов были в авангарде пропаганды обязательной «вакцинации» и требования вакцинации врачей/ медицинского персонала. Однако теперь они изменили свою позицию, не взяв на себя никакой личной ответственности за свой опасный и несправедливый мандат.

Ранее в этом году около 1 900 итальянских врачей и стоматологов были отстранены от работы профессиональной ассоциацией за несоблюдение закона, требующего от них «полной вакцинации» против Covid-19».

Хоть какое-то торжество справедливости. Они отстояли своё законное право отказаться от экспериментальной прививки и теперь возвращаются к любимой работе.",3,37,10,1162.0
80,2022-08-11 11:45:11,140037,-71935519,-71935519,"- Сестра Ким Чен Ына Ким Е Чжон отметила, что вирус (Covid-19) начал распространяться из районов, которые граничат с Южной Кореей — по ее словам, именно оттуда в #КНДР отправляются листовки и другие вещи, через которые может передаваться заболевание.

«Если враг будет упорствовать в таких опасных делах, как способствование проникновению вируса в нашу страну, мы ответим на это не только уничтожением вируса, но и уничтожением южнокорейских властей», — заявила сестра северокорейского лидера.",16,99,25,1746.0
82,2022-08-11 11:45:02,111749,468892105,468892105,"Geplante Corona-Regeln ab Oktober entbehren jeglicher sachlichen Grundlage · Der Vorschlag der Bundesministerien für Gesundheit und Justiz für eine Fortentwicklung des Infektionsschutzgesetzes sieht vor, dass ab Oktober 2022 weiter in bestimmten Bereichen eine Masken- und Testpflicht sowie Abstandsregeln und Beschränkungen von Veranstaltungen gelten sollen. „Frisch Geimpfte“ und Genesene, deren Impfung beziehungsweise deren Erkrankung maximal drei Monate zurückliegen darf, sowie Getestete sollen teilweise von der Maskenpflicht befreit sein. Von Karsten Montag.
➠  Hier lesen & anhören

#Podcast @NDS_Hinweise
oder hier anhören ⤵️
Spotify, SoundCloud, YouTube, iTunes

Geplante Corona-Regeln ab Oktober entbehren jeglicher sachlichen Grundlage

10. August 2022 um 8:56
Ein Artikel von Karsten Montag
Der Vorschlag der Bundesministerien für Gesundheit und Justiz für eine Fortentwicklung des Infektionsschutzgesetzes sieht vor, dass ab Oktober 2022 weiter in bestimmten Bereichen eine Masken- und Testpflicht sowie Abstandsregeln und Beschränkungen von Veranstaltungen gelten sollen. „Frisch Geimpfte“ und Genesene, deren Impfung beziehungsweise deren Erkrankung maximal drei Monate zurückliegen darf, sowie Getestete sollen teilweise von der Maskenpflicht befreit sein. Von Karsten Montag.

Dieser Beitrag ist auch als Audio-Podcast verfügbar.

Audio-Player

00:00
00:00
Podcast: Play in new window | Download

Während andere Staaten derzeit ihre Ausnahmeregelungen zur Bewältigung der Coronakrise beenden, haben Gesundheitsminister Lauterbach und Justizminister Buschmann einen Vorschlag für eine Fortentwicklung des Infektionsschutzgesetzes vorgelegt. Die bisherigen Maßnahmen, die am 23. September auslaufen, sollen bis Ende September verlängert werden. Vom 1. Oktober 2022 bis zum 7. April 2023 sollen dann die Maskenpflicht im Luft- und öffentlichen Personenfernverkehr sowie die Masken- und Testpflicht in Krankenhäusern und Pflegeeinrichtungen fortbestehen.

Den Bundesländern wird die Möglichkeit eingeräumt, weitergehende Regelungen wie eine Maskenpflicht in öffentlich zugänglichen Innenräumen, in Schulen und anderen Bildungseinrichtungen sowie eine Testpflicht in Gemeinschaftseinrichtungen, verpflichtende Hygienekonzepte, Mindestabstände und Personenobergrenzen für Veranstaltungen zu erlassen. Auch die 3G-Regel soll in leicht abgewandelter Form eine Renaissance erleben. Für Geimpfte, Genesene und Getestete soll es eine „zwingende Ausnahme“ von der Maskenpflicht bei Freizeit-, Kultur- oder Sportveranstaltungen, in Freizeit- und Kultureinrichtungen sowie in gastronomischen Einrichtungen geben. Hierbei ist zu beachten, dass nur noch diejenigen als „geimpft“ gelten, deren letzte Impfung höchstens drei Monate zurückliegt.

Als Begründung nennen die beiden Minister, dass im „Herbst und Winter […] mit einem saisonalen Anstieg der COVID-19-Fälle zu rechnen [ist] – und mit einer gesteigerten Belastung des Gesundheitssystems und der sonstigen kritischen Infrastruktur“. Zudem seien Masken in bestimmten Situationen zumutbar und wirksam.

Saisonale Anstiege von Atemwegserkrankungen hat es auch schon vor Corona gegeben und die Wirksamkeit von Masken im Alltag ist nicht erwiesen

Einen saisonalen Anstieg von Atemwegserkrankungen mit einer gesteigerten Belastung des Gesundheitssystems gab es auch schon vor 2020. Dies kann also kein Kriterium für besondere Maßnahmen sein, insbesondere dann nicht, wenn es selbst während der höchsten Erkrankungswellen in der Coronakrise nicht zu einer Überlastung des Gesundheitssystems gekommen und seit dem Aufkommen der Omikron-Variante erst recht nicht mehr damit zu rechnen ist.

Die vom Institut für das Entgeltsystem im Krankenhaus (InEK) regelmäßig veröffentlichten Abrechnungsdaten der Krankenhäuser zeigen, dass die Anzahl der im Krankenhaus behandelten Fälle mit akuten Atemwegserkrankungen 2020 um 11,5 und 2021 um 10,5 Prozent jeweils im Vergleich zu 2019 zurückgegangen sind. In den ersten vier Monaten 2022 ist die Anzahl der hospitalisierten Fälle mit akuten Atemwegserkrankten sogar um 41,2 Prozent im Verhältnis zum Vergleichszeitraum 2019 zurückgegangen.

Auch die wöchentliche Auswertung macht deutlich, dass es zu keinem Zeitpunkt während der Coronakrise zu Belastungsspitzen gekommen ist, die höher waren als im Frühjahr 2019. Hierbei ist zu berücksichtigen, dass der Winter 2018/19 im Vergleich zur Grippesaison 2017/18 hinsichtlich Atemwegserkrankungen zudem sehr mild verlaufen ist.

Abbildung 1: Hospitalisierte Fälle mit akuten Atemwegserkrankungen (ICD-10-Code J00 bis J22) je Kalenderwoche, Datenquelle: Datenbrowser des Instituts für das Entgeltsystem im Krankenhaus

Bezüglich der Wirksamkeit von Masken hat die von Bundestag und Bundesrat beauftragte Sachverständigenkommission in ihrem Evaluationsbericht festgestellt, dass neben der allgemeinen und im Labor bestätigten Wirksamkeit von Masken nicht abschließend geklärt ist, wie groß der Schutzeffekt in der täglichen Praxis ist, da randomisierte, klinische Studien zur Wirksamkeit von Masken fehlen würden (siehe Seite 99, Evaluationsbericht).

Offensichtlich ist der Sachverständigenkommission entgangen, dass im Frühjahr 2020 in Dänemark eine randomisierte, klinische Studie zur Wirksamkeit von Gesichtsmasken im Alltag mit knapp 6.000 Teilnehmern durchgeführt wurde. Die Untersuchung kam zu dem Ergebnis, dass das Tragen von Masken im Vergleich zur Kontrollgruppe zu keinen signifikant geringeren Infektionen geführt hat.

Intensivstationen deutlich weniger belastet als medial dargestellt

In den Jahren 2020 und 2021 kam es im Vergleich zu 2019 in mehreren Wellen zu einer hohen Anzahl von Fällen akuter Atemwegserkrankungen, die eine Intensivbehandlung notwendig machten. In den ersten vier Monaten des Jahres 2022 sind die Fälle wieder unter das Niveau im Vergleichszeitraum 2019 zurückgefallen.

Abbildung 2: Hospitalisierte Fälle mit akuten Atemwegserkrankungen mit Intensivaufenthalt je Kalenderwoche, Datenquelle: Datenbrowser des Instituts für das Entgeltsystem im Krankenhaus

Die gestiegene Anzahl von Patienten mit Atemwegserkrankungen auf den Intensivstationen hat eine ganze Reihe von Befürchtungen ausgelöst, ja, sie war das wichtigste Argument für die Behauptung, das deutsche Gesundheitssystem hätte aufgrund von COVID-19 wiederholt vor einer Überlastung gestanden. Viele einflussreiche Medien zeigten Bilder von invasiv beatmeten Patienten auf Intensivstationen, die das bedrohliche Potential der Krankheit unterstreichen sollten. Bereits zu Beginn der Coronakrise wurde unter anderem von der Tagesschau die Gefahr heraufbeschworen, Ärzte müssten aufgrund mangelnder Beatmungsplätze entscheiden, wer überlebt und wer nicht.

Dieses Schreckensszenario wurde als Begründung für Maßnahmen herangezogen, welche die Grundrechte der Bürger auf eine bisher nie dagewesene Art eingeschränkt sowie zu Ausuferungen wie der Ausgrenzung von Ungeimpften aus dem öffentlichen Leben und der Forderung nach einer allgemeinen Impfpflicht geführt haben. Eine nähere Betrachtung der Krankenhausabrechnungsdaten belegt jedoch, dass es aufgrund von COVID-19 weder zu einer Überlastung der Intensivstationen noch zu einem Anstieg von Fällen mit invasiver Beatmung gekommen ist und dass eine derartige Entwicklung auch zu keinem Zeitpunkt absehbar war.

Krankenhausbelegungstage mit Intensivaufenthalt auf dem Niveau vor der Coronakrise oder sogar deutlich darunter

Die Krankenhausbelegungstage mit Intensivaufenthalt sind in 2020 um 5,8 und 2021 um 3,5 Prozent im Vergleich zu 2019 gestiegen. In den ersten vier Monaten in 2022 sind die Belegungstage mit Intensivaufenthalt hingegen um 11,9 Prozent im Verhältnis zum Vergleichszeitraum in 2019 zurückgegangen. Auch die wöchentliche Betrachtung zeigt, dass es während der Coronakrise zu keinen außergewöhnlichen Belastungsspitzen gekommen ist.

Die durch Neuaufnahmen ausgelösten Krankenhausbelegungstage mit Intensivaufenthalt hatten im Zeitraum Januar 2019 bis April 2022 in der zweiten Kalenderwoche 2020 mit knapp 530.000 Tagen ihren höchsten Stand. Zu diesem Zeitpunkt gab es in Deutschland noch keinen einzigen bestätigten COVID-19-Fall. In der Folgezeit wurde dieser Wert nicht mehr überschritten, und der Verlauf der Belegungstage in 2020 und 2021 entspricht im Wesentlichen dem in 2019. In den ersten vier Monaten in 2022 liegen die Belegungstage mit Intensivaufenhalt ausnahmslos deutlich unter dem Niveau von 2019.

Abbildung 3: Krankenhausbelegungstage mit Intensivaufenthalt durch Neuaufnahmen je Kalenderwoche, Datenquelle: Datenbrowser des Instituts für das Entgeltsystem im Krankenhaus

Dass es aufgrund von COVID-19 zu keinem Zeitpunkt zu einer außerordentlichen Überlastung oder einer drohenden Überlastung der Intensivstationen in Deutschland gekommen ist, bestätigt auch die Zeitreihe „Belegung von COVID-19-Fällen und Non-COVID-Fällen auf den Intensivstationen“ des im April 2020 durch das Bundesgesundheitsministerium ins Leben gerufenen DIVI-Intensivregisters.

Fälle mit invasiver Beatmung haben zu keiner Zeit ein kritisches Niveau erreicht

Voraussetzung einer invasiven Beatmung ist die Einführung eines Tubus über den Mund in die Luftröhre. In 2020 lag die Anzahl der Fälle mit Intensivaufenthalt sowie einem derartigen Eingriff um 9,6 und 2021 um 10,5 Prozent höher als in 2019. Die wöchentliche Auswertung zeigt jedoch, dass es in 2020 nur in der Kalenderwoche 13 und in 2021 nur in den Kalenderwochen 16 und 17 zu einem mehr als fünf Prozent höheren Wert als dem Höchstwert in 2019 gekommen ist. Der übrige Verlauf in 2020 und 2021 ähnelt demjenigen in 2019. Die Anzahl der Fälle mit Intensivaufenthalt und Intubierung zur invasiven Beatmung in den ersten vier Monaten in 2022 liegt sogar fast ausschließlich deutlich niedriger als im Vergleichszeitraum 2019.

Abbildung 4: Fälle mit Intensivaufenhalt und endotrachealer Intubation (Voraussetzung für invasive Beatmung) je Kalenderwoche, Datenquelle: Datenbrowser des Instituts für das Entgeltsystem im Krankenhaus

Auch die seit Ende 2020 erfassten freien Kapazitäten zur invasiven Beatmung in der gleichnamigen Zeitreihe des DIVI-Intensivregisters bestätigen, dass es in 2021 in Deutschland nicht annähernd zu einem Engpass bei den zur Verfügung stehenden Beatmungsplätzen gekommen ist.

Krankenhäuser hätten ein Vielfaches an COVID-19-Patienten aufnehmen können, ohne an ihre Belastungsgrenzen zu kommen

Die Anzahl der Krankenhausbelegungstage ist in ihrer Gesamtheit 2020 um 13,6 und 2021 um 13,3 Prozent jeweils im Vergleich zu 2019 zurückgegangen. In den ersten vier Monaten 2022 beträgt der Rückgang der Belegungstage sogar 20,5 Prozent im Verhältnis zum Vergleichszeitraum 2019.

Abbildung 5: Krankenhausbelegungstage durch Neuaufnahmen je Kalenderwoche, Datenquelle: Datenbrowser des Instituts für das Entgeltsystem im Krankenhaus

Der Expertenbeirat des Bundesgesundheitsministeriums, der auf Basis der Krankenhausabrechnungsdaten regelmäßig Analysen zum Leistungsgeschehen der Krankenhäuser und zur Ausgleichspauschale in der Coronakrise erstellt, geht davon aus, dass das geringere Inanspruchnahmeverhalten der Bevölkerung von Krankenhausleistungen der Hauptgrund für die Unterauslastung ist und nicht die aktive Absage von Behandlungen durch die Krankenhäuser.

Lungenentzündungen waren bis Ende 2021 die hauptsächliche Ursache einer Hospitalisierung bei einer bestätigten SARS-CoV-2-Infektion, da der Erreger bis zum Aufkommen der Omikron-Variante sich vornehmlich in den unteren Atemwegen angesiedelt hat. 2020 haben Lungenentzündungen in Zusammenhang mit einer bestätigten COVID-19-Erkrankung knapp 950.000 Krankenhausbelegungstage ausgelöst, 2021 waren es etwas mehr als 2 Millionen Tage. Da die Belegungstage in ihrer Gesamtheit von 110,5 Millionen in 2019 auf 95,5 Millionen in 2020 und 96 Millionen in 2021 zurückgegangen sind, hätten rein rechnerisch 2020 16 Mal und 2021 immerhin sieben Mal mehr Lungenentzündungen aufgrund einer SARS-CoV-2-Infektion behandelt werden können, ohne dass die Auslastung von 2019 überschritten worden wäre.",1,3,0,59.0
